,Word,Count
0,surf,385
1,swell,354
2,surfing,217
3,wave,202
4,day,161
5,get,161
6,waves,152
7,north,151
8,like,150
9,photo,145
10,year,143
11,storm,141
12,best,139
13,time,126
14,big,118
15,surfers,116
16,world,111
17,see,111
18,good,110
19,coast,103
20,back,98
21,new,98
22,jaws,97
23,long,96
24,really,96
25,week,94
26,days,90
27,next,87
28,also,87
29,saturday,86
30,first,85
31,around,84
32,morning,83
33,season,83
34,board,83
35,south,81
36,wind,81
37,shore,79
38,go,79
39,forecast,79
40,years,78
41,right,77
42,still,76
43,high,74
44,breaks,73
45,super,73
46,people,73
47,de,73
48,la,71
49,bay,69
